datetime,system power,pump flow,lube tank pressure,lube gearbox pressure,lube gearbox temperature
2019-11-01 18:10:48,2.823,8.937,10.292,42.677,87.52
2019-11-01 18:11:18,2.849,8.938,10.187,42.676,87.15
2019-11-01 18:11:48,2.888,8.935,10.215,42.588,87.58
2019-11-01 18:12:18,2.933,8.94,10.195,42.717,87.327
2019-11-01 18:12:48,2.964,8.937,10.23,42.663,87.207
2019-11-01 18:13:18,2.976,8.942,10.236,42.6,87.693
2019-11-01 18:13:48,2.987,8.942,10.309,42.72,87.385
2019-11-01 18:14:18,2.999,8.934,10.31,42.696,87.442
2019-11-01 18:14:48,2.99,8.938,10.219,42.676,87.644
2019-11-01 18:15:18,2.964,8.941,10.254,42.719,87.47
2019-11-01 18:15:48,2.941,8.94,10.272,42.747,86.931
2019-11-01 18:16:18,2.912,8.944,10.235,42.609,87.602
2019-11-01 18:16:48,2.88,8.939,10.169,42.699,87.746
2019-11-01 18:17:18,2.852,8.94,10.257,42.758,87.463
2019-11-01 18:17:48,2.722,8.836,10.309,42.759,87.438
2019-11-01 18:18:18,1.169,4.83,10.237,42.603,87.907
2019-11-01 18:18:48,0.986,4.307,10.259,42.773,86.848
2019-11-01 18:19:18,0.978,4.308,10.259,42.591,87.434
2019-11-01 18:19:48,0.974,4.309,10.084,42.613,87.972
2019-11-01 18:20:18,0.972,4.311,10.015,42.726,87.287
2019-11-01 18:20:48,0.973,4.309,9.996,42.63,87.928
2019-11-01 18:21:18,1.003,4.276,10.052,42.673,88.02
2019-11-01 18:21:48,1.545,1.482,10.168,42.776,87.57
2019-11-01 18:22:18,0.0,,10.181,42.64,86.465
2019-11-01 18:22:48,0.442,,10.096,42.576,86.325
2019-11-01 18:23:18,1.071,,10.069,42.589,86.06
2019-11-01 18:23:48,0.0,,10.121,42.586,85.688
2019-11-01 20:17:18,0.027,2.152,9.938,47.902,74.285
2019-11-01 20:18:18,0.0,,9.909,47.714,74.782
2019-11-01 20:18:48,0.0,0.006,9.979,47.565,75.089
2019-11-01 20:24:18,0.171,0.942,10.12,47.264,76.422
2019-11-01 20:24:48,0.733,3.462,10.1,47.242,76.468
2019-11-01 20:25:18,1.607,5.966,10.162,47.216,76.563
2019-11-01 20:25:48,2.105,7.284,10.168,47.226,75.967
2019-11-01 20:26:18,2.537,8.376,10.11,47.221,75.965
2019-11-01 20:26:48,2.874,9.098,10.132,47.275,76.003
2019-11-01 20:27:18,2.946,9.128,10.083,47.271,75.883
2019-11-01 20:27:48,2.949,9.141,10.128,47.221,75.855
2019-11-01 20:28:18,2.945,9.132,10.189,47.102,76.163
2019-11-01 20:28:48,2.934,9.139,10.087,46.963,76.518
2019-11-01 20:29:18,2.919,9.13,10.125,46.81,76.821
2019-11-01 20:29:48,2.903,9.134,10.138,46.685,77.089
2019-11-01 20:30:18,2.886,9.129,10.239,46.592,77.399
2019-11-01 20:30:48,2.875,9.132,10.259,46.418,77.642
2019-11-01 20:31:18,2.867,9.137,10.407,40.877,76.827
2019-11-01 20:31:48,2.864,9.132,10.5,39.324,72.922
2019-11-01 20:32:18,2.861,9.135,10.472,42.273,70.796
2019-11-01 20:32:48,2.864,9.137,10.355,43.091,70.847
2019-11-01 20:33:18,0.721,5.717,10.33,42.505,72.109
2019-11-01 20:33:48,0.0,,10.33,42.417,72.549
2019-11-01 20:34:18,0.676,2.477,10.329,42.407,72.272
2019-11-01 20:34:48,1.501,4.943,10.364,42.363,71.831
2019-11-01 20:35:18,2.43,7.942,10.394,42.385,71.824
2019-11-01 20:35:48,2.784,9.141,10.437,42.431,71.24
2019-11-01 20:36:18,2.774,9.131,10.454,42.461,70.972
2019-11-01 20:36:48,2.214,7.544,10.537,35.547,70.836
2019-11-01 20:37:18,0.0,,10.809,-1.144,69.928
2019-11-01 20:37:48,0.0,,10.86,-1.139,69.247
2019-11-01 20:42:48,0.745,2.634,10.287,42.986,72.037
2019-11-01 20:43:18,1.41,5.137,10.291,43.039,72.117
2019-11-01 20:43:48,1.899,6.816,10.347,43.047,72.252
2019-11-01 20:44:18,1.005,0.027,10.352,43.427,71.933
2019-11-01 20:44:48,0.0,,10.305,43.421,71.944
2019-11-01 21:31:18,0.232,1.209,10.219,43.11,70.907
2019-11-01 21:31:48,0.438,2.263,10.245,43.152,70.914
2019-11-01 21:32:18,1.138,4.72,10.243,43.209,70.755
2019-11-01 21:32:48,2.037,7.209,10.247,43.114,70.611
2019-11-01 21:33:18,2.592,8.632,10.262,43.089,70.604
2019-11-01 21:33:48,2.75,9.05,10.295,43.06,70.289
2019-11-01 21:34:18,2.79,9.152,10.315,43.057,70.028
2019-11-01 21:34:48,2.819,9.151,10.315,43.045,69.89
2019-11-01 21:35:18,2.823,9.16,10.325,43.005,69.567
2019-11-01 21:35:48,2.828,9.153,10.372,43.016,69.207
2019-11-01 21:36:18,2.831,9.154,10.228,42.973,69.075
2019-11-01 21:36:48,2.836,9.159,10.304,42.934,68.966
2019-11-01 21:37:18,2.84,9.159,10.29,42.934,69.013
2019-11-01 21:37:48,2.849,9.154,10.423,42.916,68.939
2019-11-01 21:38:18,2.856,9.152,10.365,42.94,69.366
2019-11-01 21:38:48,2.859,9.163,10.379,42.972,69.181
